TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-20.031027069078267,-20.031027069078267,-20.031027069078267,-20.031027069078267,-20.031027069078267,-inf,-13.642726432343428,-inf,-inf,-inf,-inf,-inf
-20.731480826571328,-20.731480826571328,-20.731480826571328,-20.731480826571328,-20.731480826571328,-20.731480826571328,-19.043597870509373,-18.48603921878056,-28.27259788993866,-20.731480826571328,-30.43584457328523,-37.21808307532807
-16.42484877884247,-16.42484877884247,-16.42484877884247,-16.42484877884247,-16.42484877884247,-inf,-14.655702265426338,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-36.33410895259457,-36.33410895259457,-36.33410895259457,-36.33410895259457,-36.33410895259457,-36.33410895259457,-15.556590511942893,-inf,-inf,-inf,-inf,-inf
-21.007829182459222,-21.007829182459222,-21.007829182459222,-21.007829182459222,-21.007829182459222,-21.007829182459222,-21.007829182459222,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-31.14883976966003,-31.14883976966003,-31.14883976966003,-31.14883976966003,-31.14883976966003,-31.14883976966003,-16.906739351894817,-17.69002385290859,-31.14883976966003,-25.301013084785666,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-16.166693204009867,-16.166693204009867,-16.166693204009867,-16.166693204009867,-16.166693204009867,-21.455011170007353,-40.931642971574924,-28.76337927817408,-15.43308596974551,-28.76337927817408,-23.801064837488394,-23.505446230598746
-41.00373645231747,-41.00373645231747,-41.00373645231747,-41.00373645231747,-41.00373645231747,-41.00373645231747,-41.00373645231747,-34.6349765463311,-34.6349765463311,-26.997106138871956,-28.58642532987212,-28.58642532987212
-16.534552850520697,-16.89744777975142,-16.89744777975142,-16.89744777975142,-16.89744777975142,-16.89744777975142,-31.44229545733955,-16.89744777975142,-13.301813847141302,-27.66304145819044,-16.89744777975142,-inf
-41.335994754376735,-41.335994754376735,-41.335994754376735,-41.335994754376735,-41.335994754376735,-41.335994754376735,-41.335994754376735,-35.99395803954791,-41.335994754376735,-31.797581447862683,-31.797581447862683,-25.42108281036615
